Rijk;Familie;Genus;Soort;Ondersoort;Latijnse naam;Engelse populaire naam;Nederlandse populaire naam;Bron;TaxID
Animalia;Apidae;Apis;mellifera;;A. mellifera;Honey bee;Honingbij;;7460
Animalia;Apidae;Bombus;sp.;;B. sp.;Bumble bee;Hommel;;4708
Animalia;Blattellidae;Blattella;germanica;;B. germanica;German cockroach;Duitse kakkerlak;;6973
Animalia;Blattidae;Blatta;orientalis;;B. orientalis;Oriental cockroach;Oosterse kakkerlak, bakkerstor;;6976
Animalia;Blattidae;Periplaneta;americana;;P. americana;American cockroach;Amerikaanse kakkerlak, grote kakkerlak;;6978
Animalia;Bovidae;Bos;domesticus;;B. domesticus;Cow;Koe;;25401
Animalia;Bovidae;Ovis;sp.;;O. sp.;Sheep;Schaap;;9935
Animalia;Canidae;Canis;familiaris;;C. familiaris;Dog;Hond;;9615
Animalia;Canidae;Urocyon;cinereoargenteus;;U. cinereoargenteus;Gray fox;Grijze vos;;55040
Animalia;Caviidae;Cavia;porcellus;;C. porcellus;Guinea pig;Cavia;;10141
Animalia;Ceratopogonidae;Culicoides;sp.;;C. sp.;Biting midges, punkies;Knutten;;271
Animalia;Cervidae;Odocoileus;virginianus;;O. virginianus;White-tailed deer;Witstaarthert;;9874
Animalia;Chironomidae;;;;;Midges;Knutten;;7149
Animalia;Cimicidae;Cimex;lectularius;;C. lectularius;Human bed bug;Bedwants;;79782
Animalia;Coccinellidae;;;;;Ladybird beetle;Lieveheersbeestje;;7080
Animalia;Columbidae;Columba;livia;;C. livia;Pigeon;Duif;;8932
Animalia;Culicidae;Aedes;sp.;;A. sp.;Mosquito;Mug;;9531
Animalia;Culicidae;Anopheles;sp.;;A. sp.;Mosquito;Mug;;484
Animalia;Culicidae;Culex;sp.;;C. sp.;Mosquito;Mug;;527
Animalia;Didelphiidae;Didelphis;marsupialis;;D. marsupialis;Opossum;Buidelrat;;9268
Animalia;Equidae;Equus;caballus;;E. caballus;Horse;Paard;;9796
Animalia;Felidae;Felis;catus;;F. domesticus;Cat;Kat;;25401
Animalia;Formicidae;Pogonomyrmex;sp.;;P. sp.;Harvester ant;Maaimier;;144030
Animalia;Formicidae;Solenopsis;richteri;;S. richteri;Black imported fire ant;Zwarte vuurmier;;30203
Animalia;Formicidae;Solenopsis;invicta;;S. invicta;Red imported fire ant;Rode vuurmier;;13686
Animalia;Fringillidae;Serinus;canaria;;S. canaria;Common canary;Kanarie;;9135
Animalia;Homaridae;Homarus;americanus;;H. americanus;American lobster;Amerikaanse kreeft;;9986
Animalia;Leporidae;Oryctolagus;cuniculus;;O. cuniculus;Rabbit;Konijn;;9986
Animalia;Meleagrididae;Meleagris;gallopavo;;M. gallopavo;Turkey;Kalkoen;;9103
Animalia;Muridae;Cricetus;cricetus;;C. cricetus;Common hamster;Hamster;;10034
Animalia;Muridae;Gerbillus;campestris;;G. campestris;Gerbil;Woestijnrat;;41199
Animalia;Muridae;Mus;musculus;;M. musculus;Mouse;Muis;;10090
Animalia;Muridae;Rattus;norvegicus;;R. norvegicus;Rat;Rat;;10116
Animalia;Mustelidae;Mustela;sp.;;M. sp.;Minks and Ferrets;Nertsen en Fretten;;9665
Animalia;Panaeidae;Penaeus;sp.;;P. sp.;Shrimp;Garnaal;;133894
