Rijk,Familie,Genus,Latijnse naam,Engelse populaire naam,Nederlandse pulaire naam,Bron,TaxID
Plantae,Poaceae,Arrhenatherum,A. elatius,False oat-grass,Gewone glanshaver,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,52139
Plantae,Poaceae,Bromus,B. hordeaceus,Soft-brome,Zachte dravik,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,52147
Plantae,Poaceae,Cynodon,C. dactylon,Bermuda grass,Handjesgras,,28909
Plantae,Poaceae,Cynosurus,C. cristatus,Crested dogstail grass,Kamgras,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,211939
Plantae,Poaceae,Dactylis,D. glomerata,Cock's-foot,Kropaar,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,4509
Plantae,Poaceae,Elytrigia,E. repens,Couch grass,Kweek,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,52152
Plantae,Poaceae,Festuca,F. pratensis,Meadow fescue,Beemdlangbloem,,4608
Plantae,Poaceae,Fetusca,F. sp.,Fescue,Zwenkgras,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,4605
Plantae,Poaceae,Holcus,H. lanatus,Yorkshire fog,Gestreepte witbol,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,29679
Plantae,Poaceae,Holcus,H. mollis,Creeping soft grass,Gladde witbol,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,376124
Plantae,Poaceae,Holcus,H. sp.,Soft grass,Witbol,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,15560
Plantae,Poaceae,Lolium,L. multiflorum,Italian rye-grass,Italiaans raaigras,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,4521
Plantae,Poaceae,Lolium,L. perenne,English ryegrass,Engels raaigras,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,4522
Plantae,Poaceae,Lolium,L. sp.,Ryegrass,Raaigras,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,4520
Plantae,Poaceae,Paspalum,P. notatum,Bahia grass,Bahia-gras,,147272
Plantae,Poaceae,Phleum,P. pratense,Timothy grass,Timoteegras,,15957
Plantae,Poaceae,Phleum,P. pratense subsp. pratense,Timothy-grass,Timoteegras,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,15957
Plantae,Poaceae,Phleum,P. sp.,Timothy-grass,Doddegras,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,15304
Plantae,Poaceae,Poa,P. annua,Annual meadow grass,Straatgras,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,93036
Plantae,Poaceae,Poa,P. pratensis,Kentucky bluegrass,Veldbeemdgras,http://www.elkerliek.nl/Quartz/Patientenfolders/Hooikoorts-bij-kinderen-(Allergische-rhinitis).pdf,4545
Plantae,Poaceae,Secale,S. cereale,Rye,Rogge,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,4550
Plantae,Poaceae,Sorghum,S. halepense,Johnson grass,Wilde sorgo,,4560
Plantae,Poaceae,Zea,Z. mays subsp. mays,Maize,Maïs,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,381124
Plantae,Polygonaceae,Rumex,R. sp.,Dock,Veldzuring,https://www.lumc.nl/org/longziekten/patientenzorg/pollen-en-hooikoorts/105828/130606115902450/,3618
Plantae,Salicaceae,Populus,P. sp.,Cottonwood,Populier,,3689
Plantae,Salicaceae,Salix,S. sp.,Willow,Wilg,,40685
Plantae,Ulmaceae,Ulmus,U. sp.,Elm,Iep,,24735
Plantae,Urticaceae,Parietaria,P. judaica,Spreading pellitory,Klein glaskruid,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,33127
Plantae,Urticaceae,Parietaria,P. officinalis,Upright pellitory,Groot glaskruid,http://www.vcbio.science.ru.nl/virtuallessons/pollenplants/,13187
Plantae,Urticaceae,Urtica,U. sp.,Nettle,Brandnetel,,3500
